Billing Run: Billing Run Number,Billing Run: Number Of Invoices,total_times_second,avg_seconds_per_invoice
BR-00022602,1.0,0.287,0.287
BR-00022600,1.0,0.23,0.23
BR-00022750,1.0,0.205,0.205
BR-00022775,1.0,0.235,0.235
BR-00023010,1.0,0.239,0.239
BR-00022781,1.0,0.276,0.276
BR-00022996,1.0,0.594,0.594
BR-00022994,1.0,0.42,0.42
BR-00022967,1.0,0.278,0.278
BR-00022966,1.0,0.358,0.358
BR-00022917,1.0,0.272,0.272
BR-00022900,1.0,0.232,0.232
BR-00022898,1.0,0.269,0.269
BR-00022890,1.0,0.277,0.277
BR-00022886,1.0,0.228,0.228
BR-00022850,1.0,0.654,0.654
BR-00022841,1.0,0.222,0.222
BR-00022838,1.0,0.24,0.24
BR-00022832,1.0,0.728,0.728
BR-00022831,1.0,0.241,0.241
BR-00022827,1.0,0.225,0.225
BR-00022808,1.0,0.257,0.257
BR-00022805,1.0,0.21,0.21
BR-00023011,1.0,0.193,0.193
BR-00023000,1.0,0.255,0.255
BR-00023004,1.0,0.252,0.252
BR-00022835,1.0,0.238,0.238
BR-00022833,1.0,0.272,0.272
BR-00022790,1.0,0.215,0.215
BR-00022785,1.0,0.225,0.225
BR-00022784,1.0,0.211,0.211
BR-00022774,1.0,0.916,0.916
BR-00022758,1.0,0.271,0.271
BR-00022718,1.0,0.236,0.236
BR-00022715,1.0,0.245,0.245
BR-00022707,1.0,0.959,0.959
BR-00022706,1.0,0.182,0.182
BR-00022705,1.0,0.331,0.331
BR-00022689,1.0,0.392,0.392
BR-00022686,1.0,0.235,0.235
BR-00022648,1.0,0.855,0.855
BR-00022629,1.0,0.237,0.237
BR-00022611,1.0,0.279,0.279
BR-00022610,1.0,0.262,0.262
BR-00022834,1.0,0.332,0.332
BR-00022837,1.0,0.26,0.26
BR-00022969,1.0,0.297,0.297
BR-00022845,1.0,0.371,0.371
BR-00022968,1.0,0.269,0.269
BR-00022963,1.0,0.198,0.198
BR-00022954,1.0,0.327,0.327
BR-00022947,1.0,0.306,0.306
BR-00022940,1.0,0.256,0.256
BR-00022933,1.0,0.251,0.251
BR-00022919,1.0,0.239,0.239
BR-00022911,1.0,0.271,0.271
BR-00022908,1.0,0.259,0.259
BR-00022906,1.0,0.351,0.351
BR-00022902,1.0,0.263,0.263
BR-00022889,1.0,0.189,0.189
BR-00022875,1.0,0.219,0.219
BR-00022874,1.0,0.243,0.243
BR-00022851,1.0,0.353,0.353
BR-00022847,1.0,0.332,0.332
BR-00022846,1.0,1.113,1.113
BR-00022999,1.0,0.215,0.215
BR-00022588,1.0,0.305,0.305
BR-00022885,1.0,0.972,0.972
BR-00022802,1.0,0.263,0.263
